iso3,need_pct,research_pct,gap,lisa_cat_gap9
GRC,26.06382978723404,74.87179487179488,48.807965084560834,Not significant
GRD,44.14893617021277,19.48717948717949,-24.661756683033275,Not significant
GTM,68.61702127659575,47.94871794871795,-20.6683033278778,Not significant
GIN,61.17021276595744,19.48717948717949,-41.683033278777955,Not significant
GNB,87.2340425531915,47.94871794871795,-39.28532460447355,Not significant
GUY,10.106382978723405,19.48717948717949,9.380796508456086,Not significant
HTI,94.6808510638298,19.48717948717949,-75.1936715766503,Not significant
HND,72.87234042553192,53.84615384615385,-19.02618657937807,Not significant
HUN,29.787234042553195,88.2051282051282,58.41789416257501,Not significant
ISL,21.808510638297875,19.48717948717949,-2.321331151118386,Low-High
IND,55.85106382978723,99.48717948717947,43.63611565739226,Not significant
IDN,32.97872340425532,94.35897435897436,61.38025095471903,Not significant
IRN,63.297872340425535,97.94871794871794,34.65084560829241,Not significant
IRQ,74.46808510638297,70.51282051282051,-3.955264593562461,Not significant
IRL,5.319148936170215,47.94871794871795,42.629569012547734,High-High
ISR,22.340425531914892,47.94871794871795,25.608292416803057,Not significant
ITA,8.510638297872347,87.6923076923077,79.18166939443535,Not significant
JAM,67.5531914893617,19.48717948717949,-48.066012002182205,Not significant
JPN,2.1276595744680833,78.71794871794872,76.59028914348063,Not significant
JOR,75.0,19.48717948717949,-55.51282051282051,Not significant
KAZ,20.212765957446805,89.23076923076924,69.01800327332244,Not significant
KEN,95.74468085106383,91.7948717948718,-3.949809056192038,Not significant
KIR,39.361702127659576,19.48717948717949,-19.874522640480087,Not significant
KWT,55.319148936170215,19.48717948717949,-35.831969448990726,Not significant
KGZ,56.91489361702128,47.94871794871795,-8.966175668303329,Not significant
LAO,78.19148936170212,47.94871794871795,-30.242771412984176,Not significant
LVA,26.595744680851062,47.94871794871795,21.352973267866886,Not significant
LBN,61.702127659574465,62.30769230769231,0.6055646481178414,Not significant
LSO,82.97872340425532,19.48717948717949,-63.49154391707583,Not significant
LBR,90.42553191489364,19.48717948717949,-70.93835242771414,Not significant
LBY,57.446808510638306,19.48717948717949,-37.95962902345882,Not significant
LTU,17.02127659574468,47.94871794871795,30.92744135297327,Not significant
LUX,4.255319148936174,47.94871794871795,43.693398799781775,High-High
MDG,95.2127659574468,54.35897435897436,-40.85379159847245,Not significant
MWI,85.1063829787234,71.28205128205128,-13.824331696672118,Not significant
MYS,28.191489361702125,85.38461538461539,57.19312602291326,Not significant
MDV,33.51063829787234,19.48717948717949,-14.023458810692851,Not significant
MLI,80.31914893617021,58.46153846153847,-21.85761047463174,Not significant
MLT,34.57446808510639,19.48717948717949,-15.0872885979269,Not significant
MRT,75.53191489361703,47.94871794871795,-27.58319694489908,Not significant
MUS,30.851063829787233,19.48717948717949,-11.363884342607744,Not significant
MEX,23.404255319148945,90.76923076923076,67.36497545008183,Not significant
MNG,47.340425531914896,55.38461538461539,8.044189852700491,Not significant
MNE,21.27659574468085,39.48717948717949,18.21058374249864,Not significant
MAR,71.27659574468085,89.74358974358975,18.466993998908904,Not significant
MOZ,93.61702127659576,67.17948717948717,-26.437534097108585,Not significant
MMR,64.36170212765957,61.53846153846154,-2.8232405891980292,Not significant
NAM,80.85106382978722,42.30769230769231,-38.543371522094915,Not significant
NPL,48.93617021276596,90.25641025641026,41.320240043644304,Not significant
NLD,14.361702127659576,76.41025641025641,62.04855428259683,High-High
NCL,35.1063829787234,19.48717948717949,-15.619203491543914,Not significant
NZL,18.617021276595743,47.94871794871795,29.33169667212221,Not significant
NIC,73.93617021276596,19.48717948717949,-54.44899072558647,Not significant
NER,81.38297872340425,63.589743589743584,-17.793235133660666,Not significant
NGA,81.91489361702128,96.4102564102564,14.495362793235133,Not significant
MKD,37.234042553191486,58.46153846153847,21.22749590834698,Not significant
NOR,19.148936170212764,58.46153846153847,39.3126022913257,High-High
OMN,59.57446808510638,19.48717948717949,-40.08728859792689,Not significant
PAK,67.02127659574468,97.43589743589745,30.41462084015275,Not significant
PSE,62.23404255319149,19.48717948717949,-42.746863066012,Not significant
PAN,38.297872340425535,47.94871794871795,9.650845608292414,Not significant
PNG,79.7872340425532,19.48717948717949,-60.300054555373706,Not significant
PRY,37.765957446808514,19.48717948717949,-18.278777959629025,Not significant
PER,51.06382978723404,81.53846153846153,30.47463175122749,Not significant
PHL,36.702127659574465,80.51282051282051,43.810692853246046,Not significant
POL,11.702127659574472,84.1025641025641,72.40043644298963,Not significant
PRT,30.319148936170215,58.46153846153847,28.14238952536825,High-High
PRI,4.787234042553191,19.48717948717949,14.699945444626298,Not significant
QAT,59.04255319148937,19.48717948717949,-39.55537370430988,Not significant
KOR,12.765957446808514,86.66666666666667,73.90070921985816,Not significant
MDA,86.17021276595744,47.94871794871795,-38.221494817239495,Not significant
ROU,42.02127659574468,53.07692307692308,11.0556464811784,Not significant
RUS,13.829787234042556,81.02564102564102,67.19585379159847,Not significant
