iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
ISR,29.295868207785308,-0.215563851252618,0.2457,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,1.0,0.1865284974093264,Not significant
ITA,65.41251494619371,1.4199023521944258,0.0188,Not significant,High-High,False,Europe & Central Asia,High income,15.875,0.2227979274611398,Not significant
JAM,-39.05672910854257,0.375217316777075,0.1813,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.5803108808290155,Not significant
JPN,67.31898498737877,1.2017245558861631,0.0436,Not significant,High-High,False,East Asia & Pacific,High income,10.0,0.1139896373056994,Not significant
JOR,-45.27434568885346,0.0610476756889933,0.437,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.6424870466321243,Not significant
KAZ,48.30344094592799,-0.9486841812402932,0.0322,Not significant,High-Low,False,Europe & Central Asia,Upper middle income,18.5,0.4041450777202072,Not significant
KEN,-7.686993490102296,0.1629074547599581,0.0276,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,21.916666666666664,0.9948186528497408,Not significant
KIR,1.3577786634781468,0.00537374667154,0.3145,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,0.0,0.1761658031088082,Not significant
KWT,-17.8132057924804,-0.1039022689151969,0.2989,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.3678756476683937,Not significant
KGZ,-4.901022983924534,0.0631708835585833,0.1281,Not significant,Not significant,False,Europe & Central Asia,Lower middle income,1.0,0.5284974093264249,Not significant
LAO,-34.43470174040123,-0.2689605981831952,0.24,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,1.0,0.8238341968911918,Not significant
LVA,16.860635047163544,0.4300483820313261,0.008,High-High,High-High,False,Europe & Central Asia,High income,1.0,0.310880829015544,High-High
LBN,10.49422080510164,-0.0553805017196007,0.3083,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2.25,0.5181347150259067,Not significant
LSO,-49.41942340906071,0.4593472276498105,0.1886,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,0.0,0.6839378238341969,Not significant
LBR,-68.07227314999335,1.3778771219237629,0.0263,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.8704663212435233,Not significant
LBY,-30.248438953102163,0.139954049663619,0.3285,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.4922279792746113,Not significant
LTU,18.933173907267175,0.363651081018412,0.0331,Not significant,High-High,False,Europe & Central Asia,High income,1.0,0.2901554404145077,Not significant
LUX,44.83990965856251,1.8168625003527836,0.0002,High-High,High-High,False,Europe & Central Asia,High income,1.0,0.0310880829015544,High-High
MDG,-42.0140826358443,0.6448039464302487,0.0713,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,1.3333333333333333,0.9637305699481864,Not significant
MWI,-19.909658562508294,0.5077370596131285,0.0078,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,5.116666666666667,0.911917098445596,Low-Low
MYS,39.788760462335595,0.5921408271323199,0.0761,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,14.5,0.4559585492227979,Not significant
MDV,8.093529958814933,0.0159274981093999,0.4262,Not significant,Not significant,False,South Asia,Upper middle income,0.0,0.1088082901554404,Not significant
MLI,-27.548824232762044,0.3609939235654287,0.1119,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,2.0,0.8601036269430051,Not significant
MLT,2.394048093529957,0.0421288982380082,0.0285,Not significant,High-High,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.1658031088082901,Not significant
MRT,-18.89066028962403,0.2784909810407017,0.0856,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,1.0,0.6683937823834197,Not significant
MUS,-6.9323767769363585,0.125682845520904,0.0515,Not significant,Not significant,False,Sub-Saharan Africa ,Upper middle income,0.0,0.2590673575129533,Not significant
MEX,45.69151056197689,-0.8572757527204893,0.0394,Not significant,High-Low,False,Latin America & Caribbean ,Upper middle income,20.2,0.4507772020725388,Not significant
FSM,-21.95828351268766,0.3546290103156738,0.0663,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,0.0,0.4093264248704663,Not significant
MNG,12.379434037465131,0.0004731374808521,0.4966,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,1.6666666666666663,0.4300518134715025,Not significant
MNE,29.135113591072148,0.5074438426776485,0.0501,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,0.0909090909090909,0.0932642487046632,Not significant
MAR,13.059651919755566,0.174238205072862,0.0985,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,19.0,0.7668393782383419,Not significant
MOZ,-30.74797396040921,0.5528619661552121,0.0467,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,3.25,0.9792746113989638,Not significant
MMR,-17.21801514547628,0.0350294764503926,0.4178,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,2.1666666666666665,0.7875647668393783,Not significant
NAM,-28.671449448651515,0.4836335850269827,0.057,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,0.5,0.7046632124352331,Not significant
NPL,30.15278331340508,0.0767507586469357,0.4027,Not significant,Not significant,False,South Asia,Lower middle income,19.166666666666664,0.6010362694300518,Not significant
NLD,53.09419423409061,2.282141967147627,0.0001,High-High,High-High,False,Europe & Central Asia,High income,8.291666666666666,0.233160621761658,High-High
NCL,-2.2691643417032026,0.0396576923317118,0.0755,Not significant,Not significant,False,East Asia & Pacific,High income,0.0,0.2124352331606217,Not significant
NZL,32.40467649794075,-0.4323613459604826,0.1067,Not significant,Not significant,False,East Asia & Pacific,High income,1.0,0.155440414507772,Not significant
NIC,-53.56450112926797,0.489193367471932,0.1913,Not significant,Not significant,False,Latin America & Caribbean ,Lower middle income,0.0,0.7253886010362695,Not significant
NER,-23.975023249634653,0.5173629964607536,0.0218,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,2.5,0.8756476683937824,Not significant
NGA,3.669456622824498,-0.0442714052709183,0.108,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,38.8,0.922279792746114,Not significant
NIU,,-8.070393677995479e-19,0.3703,Not significant,Not significant,True,,,0.0,,no data
MKD,24.78278198485453,0.380378319831243,0.069,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,2.0,0.3367875647668393,Not significant
NOR,41.36309286568354,1.1290047814655304,0.0037,High-High,High-High,False,Europe & Central Asia,High income,2.0,0.1709844559585492,High-High
OMN,-27.139630662946725,0.1803210127726307,0.2623,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.4611398963730569,Not significant
PAK,14.016208316726448,-0.1176191467406777,0.2086,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,49.266666666666666,0.8341968911917098,Not significant
PSE,-24.54895708781719,0.0929999415062988,0.3545,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.4352331606217616,Not significant
PAN,10.124883751826758,-0.1196676330369138,0.1247,Not significant,Not significant,False,Latin America & Caribbean ,High income,1.0,0.3782383419689119,Not significant
PNG,-58.22771356450112,1.4476299483039343,0.008,Low-Low,Low-Low,False,East Asia & Pacific,Lower middle income,0.0,0.772020725388601,Low-Low
PRY,-31.80284309817989,-0.663007921125507,0.0265,Not significant,Low-High,False,Latin America & Caribbean ,Upper middle income,0.0,0.5077720207253886,Not significant
PER,20.39856516540454,0.1038224931251892,0.3134,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,12.25,0.6113989637305699,Not significant
PHL,27.14494486515212,0.4197809908195434,0.0693,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,12.0,0.533678756476684,Not significant
POL,48.86940348080245,1.121399634223924,0.0139,Not significant,High-High,False,Europe & Central Asia,High income,14.0,0.3523316062176165,Not significant
PRT,33.07293742526903,1.074257807598648,0.0009,High-High,High-High,False,Europe & Central Asia,High income,2.0,0.2538860103626943,High-High
PRI,15.347415969177629,-0.1334570783168762,0.2047,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.0362694300518134,Not significant
QAT,-16.77693636242859,-0.0502822432806151,0.4002,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.3575129533678756,Not significant
KOR,66.97754749568222,0.7228208911212674,0.1464,Not significant,Not significant,False,East Asia & Pacific,High income,15.0,0.1968911917098445,Not significant
MDA,-38.57977946060847,-0.6019368044445556,0.076,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,1.0,0.8652849740932642,Not significant
ROU,-3.917895575926664,-0.0601041043641959,0.092,Not significant,Not significant,False,Europe & Central Asia,High income,1.0909090909090908,0.5699481865284974,Not significant
