iso3,research_share,production_share,n_studies_fractional,n_production_cells,fao_area_name,wb_region,wb_income_group,research_share_pct,production_share_pct,labelled_in_figure,plot_group,clipped_to_left_edge
HKG,0.0,8.310859190880649e-09,0.0,2,"China, Hong Kong SAR",East Asia & Pacific,High income,0.0,8.310859190880649e-07,False,zero-research strip,True
HTI,0.0,0.0004615745620689166,0.0,13,Haiti,Latin America & Caribbean ,Lower middle income,0.0,0.04615745620689166,False,zero-research strip,False
MLT,0.0,1.111218009772444e-06,0.0,13,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.00011112180097724439,False,zero-research strip,True
MDV,0.0,6.107974912562412e-08,0.0,6,Maldives,South Asia,Upper middle income,0.0,6.107974912562412e-06,False,zero-research strip,True
GNQ,0.0,4.074382233527812e-05,0.0,5,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,0.0,0.004074382233527812,False,zero-research strip,False
JAM,0.0,0.00014398415184987886,0.0,12,Jamaica,Latin America & Caribbean ,Upper middle income,0.0,0.014398415184987886,False,zero-research strip,False
JOR,0.0,3.975421588210153e-05,0.0,12,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.003975421588210153,False,zero-research strip,False
KIR,0.0,1.0000688254041256e-06,0.0,1,Kiribati,East Asia & Pacific,Lower middle income,0.0,0.00010000688254041257,False,zero-research strip,True
KNA,0.0,3.1260879249783686e-08,0.0,6,Saint Kitts and Nevis,Latin America & Caribbean ,High income,0.0,3.1260879249783686e-06,False,zero-research strip,True
KWT,0.0,6.975378236617968e-06,0.0,7,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.0006975378236617968,False,zero-research strip,False
LSO,0.0,3.0053813894574927e-05,0.0,8,Lesotho,Sub-Saharan Africa ,Lower middle income,0.0,0.003005381389457493,False,zero-research strip,False
AGO,0.0,0.0028460802244432777,0.0,17,Angola,Sub-Saharan Africa ,Lower middle income,0.0,0.28460802244432776,False,zero-research strip,False
LCA,0.0,2.264613287646218e-06,0.0,7,Saint Lucia,Latin America & Caribbean ,Upper middle income,0.0,0.0002264613287646218,False,zero-research strip,False
NCL,0.0,2.200548201225735e-06,0.0,9,New Caledonia,East Asia & Pacific,High income,0.0,0.0002200548201225735,False,zero-research strip,False
NIC,0.0,0.0013357541393696055,0.0,14,Nicaragua,Latin America & Caribbean ,Lower middle income,0.0,0.13357541393696054,False,zero-research strip,False
CPV,0.0,5.286767004136378e-06,0.0,8,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0.0,0.0005286767004136378,False,zero-research strip,False
ERI,0.0,3.86586137987567e-05,0.0,11,Eritrea,Sub-Saharan Africa ,Low income,0.0,0.0038658613798756704,False,zero-research strip,False
DJI,0.0,1.6735534708420195e-06,0.0,3,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.00016735534708420195,False,zero-research strip,True
DMA,0.0,5.938032766057038e-06,0.0,9,Dominica,Latin America & Caribbean ,Upper middle income,0.0,0.0005938032766057038,False,zero-research strip,False
LBY,0.0,8.170091500908977e-05,0.0,11,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.008170091500908977,False,zero-research strip,False
QAT,0.0,4.5680790433275646e-07,0.0,5,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,4.5680790433275646e-05,False,zero-research strip,True
PYF,0.0,1.0737424699184744e-06,0.0,8,French Polynesia,East Asia & Pacific,High income,0.0,0.00010737424699184744,False,zero-research strip,True
PSE,0.0,1.7893890487586982e-05,0.0,13,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.0017893890487586982,False,zero-research strip,False
PRY,0.0,0.0036326060017651688,0.0,18,Paraguay,Latin America & Caribbean ,Upper middle income,0.0,0.3632606001765169,False,zero-research strip,False
DOM,0.0,0.0013174162540314813,0.0,16,Dominican Republic,Latin America & Caribbean ,Upper middle income,0.0,0.13174162540314813,False,zero-research strip,False
PRI,0.0,3.106364489889685e-05,0.0,10,Puerto Rico,Latin America & Caribbean ,High income,0.0,0.0031063644898896847,False,zero-research strip,False
NIU,0.0,7.408658605174076e-08,0.0,4,Niue,,,0.0,7.408658605174076e-06,False,zero-research strip,True
PNG,0.0,0.0008188282109607222,0.0,12,Papua New Guinea,East Asia & Pacific,Lower middle income,0.0,0.08188282109607221,False,zero-research strip,False
FJI,0.0,0.00024328298067812813,0.0,11,Fiji,East Asia & Pacific,Upper middle income,0.0,0.024328298067812813,False,zero-research strip,False
FRO,0.0,2.077482038896035e-07,0.0,1,Faroe Islands,Europe & Central Asia,High income,0.0,2.077482038896035e-05,False,zero-research strip,True
FSM,0.0,1.9896911609475295e-06,0.0,7,Micronesia (Federated States of),East Asia & Pacific,Upper middle income,0.0,0.00019896911609475294,False,zero-research strip,True
GAB,0.0,0.00022118532836218785,0.0,11,Gabon,Sub-Saharan Africa ,Upper middle income,0.0,0.022118532836218785,False,zero-research strip,False
OMN,0.0,2.2431785549157718e-05,0.0,7,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.002243178554915772,False,zero-research strip,False
GLP,0.0,,0.0,0,,,,0.0,,False,no production denominator,False
GMB,0.0,2.62880206538855e-05,0.0,9,Gambia,Sub-Saharan Africa ,Low income,0.0,0.00262880206538855,False,zero-research strip,False
AFG,0.0,0.000853762711595787,0.0,13,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.0853762711595787,False,zero-research strip,False
