iso3,fao_area_name,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,research_pct,evidence_gap,need_pct_0_100,research_minus_need_pctpts,high_need_low_research_quadrant
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6.0,0.48186528497409326,73.58974358974359,25.403215092334264,48.18652849740933,25.403215092334264,False
PHL,Philippines,East Asia & Pacific,Upper middle income,12.0,0.533678756476684,80.51282051282051,27.14494486515212,53.36787564766839,27.14494486515212,False
MNE,Montenegro,Europe & Central Asia,Upper middle income,0.09090909090909091,0.09326424870466321,38.46153846153847,29.135113591072148,9.32642487046632,29.135113591072148,False
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,1.0,0.18652849740932642,47.94871794871795,29.295868207785308,18.65284974093264,29.295868207785308,False
NPL,Nepal,South Asia,Lower middle income,19.166666666666664,0.6010362694300518,90.25641025641026,30.15278331340508,60.10362694300518,30.15278331340508,False
NZL,New Zealand,East Asia & Pacific,High income,1.0,0.15544041450777202,47.94871794871795,32.40467649794075,15.544041450777202,32.40467649794075,False
THA,Thailand,East Asia & Pacific,Upper middle income,21.5,0.5854922279792746,91.28205128205128,32.73282848412383,58.549222797927456,32.73282848412383,False
PRT,Portugal,Europe & Central Asia,High income,2.0,0.2538860103626943,58.46153846153847,33.07293742526903,25.38860103626943,33.07293742526903,False
CYP,Cyprus,Europe & Central Asia,High income,3.0,0.3005181347150259,64.87179487179488,34.819981400292285,30.05181347150259,34.819981400292285,False
URY,Uruguay,Latin America & Caribbean ,High income,4.416666666666667,0.3471502590673575,69.74358974358974,35.028563836853984,34.715025906735754,35.028563836853984,False
VNM,Viet Nam,East Asia & Pacific,Upper middle income,22.333333333333332,0.5595854922279793,92.3076923076923,36.34914308489438,55.95854922279793,36.34914308489438,False
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,3.0,0.27979274611398963,64.87179487179488,36.89252026039591,27.979274611398964,36.89252026039591,False
CHL,Chile,Latin America & Caribbean ,High income,2.0,0.20207253886010362,58.46153846153847,38.254284575528104,20.207253886010363,38.254284575528104,False
SRB,Serbia,Europe & Central Asia,Upper middle income,8.59090909090909,0.38341968911917096,76.92307692307693,38.58110801115984,38.34196891191709,38.58110801115984,False
RUS,Russian Federation,Europe & Central Asia,High income,12.059523809523808,0.41450777202072536,81.02564102564102,39.574863823568485,41.45077720207254,39.574863823568485,False
MYS,Malaysia,East Asia & Pacific,Upper middle income,14.5,0.45595854922279794,85.38461538461539,39.788760462335595,45.59585492227979,39.788760462335595,False
CHE,Switzerland,Europe & Central Asia,High income,1.5,0.15025906735751296,54.871794871794876,39.845888136043584,15.025906735751295,39.845888136043584,False
LKA,Sri Lanka,South Asia,Upper middle income,14.5,0.44041450777202074,85.38461538461539,41.343164607413314,44.04145077720207,41.343164607413314,False
NOR,Norway,Europe & Central Asia,High income,2.0,0.17098445595854922,58.46153846153847,41.36309286568354,17.098445595854923,41.36309286568354,False
TWN,"China, Taiwan Province of",,,8.0,0.34196891191709844,75.8974358974359,41.70054470572605,34.196891191709845,41.70054470572605,False
GRC,Greece,Europe & Central Asia,High income,7.0,0.32642487046632124,74.87179487179488,42.22930782516275,32.64248704663213,42.22930782516275,False
IRL,Ireland,Europe & Central Asia,High income,1.0,0.05699481865284974,47.94871794871795,42.249236083432976,5.699481865284974,42.249236083432976,False
IDN,Indonesia,East Asia & Pacific,Upper middle income,34.875,0.5129533678756477,94.35897435897435,43.06363757140958,51.29533678756477,43.06363757140958,False
HRV,Croatia,Europe & Central Asia,High income,3.090909090909091,0.22797927461139897,66.15384615384615,43.355918692706254,22.797927461139896,43.355918692706254,False
CHN,"China, mainland",East Asia & Pacific,Upper middle income,252.3095238095238,0.5492227979274611,98.97435897435898,44.05207918161287,54.92227979274611,44.05207918161287,False
LUX,Luxembourg,Europe & Central Asia,High income,1.0,0.031088082901554404,47.94871794871795,44.83990965856251,3.1088082901554404,44.83990965856251,False
MEX,Mexico,Latin America & Caribbean ,Upper middle income,20.2,0.45077720207253885,90.76923076923077,45.69151056197689,45.07772020725388,45.69151056197689,False
HUN,Hungary,Europe & Central Asia,High income,16.09090909090909,0.42487046632124353,88.2051282051282,45.71808157300385,42.487046632124354,45.71808157300385,False
ESP,Spain,Europe & Central Asia,High income,23.0,0.46632124352331605,92.82051282051282,46.18838846818121,46.63212435233161,46.18838846818121,False
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,18.5,0.40414507772020725,88.71794871794872,48.30344094592799,40.41450777202073,48.30344094592799,False
ARG,Argentina,Latin America & Caribbean ,Upper middle income,15.25,0.38860103626943004,87.17948717948718,48.31938355254418,38.860103626943,48.31938355254418,False
POL,Poland,Europe & Central Asia,High income,14.0,0.35233160621761656,84.1025641025641,48.86940348080245,35.233160621761655,48.86940348080245,False
FIN,Finland,Europe & Central Asia,High income,5.625,0.21761658031088082,72.56410256410255,50.80244453301447,21.761658031088082,50.80244453301447,False
