iso3,log_studies_value,log_studies_lisa_I,log_studies_lisa_p,log_studies_lisa_cat_raw,log_studies_lisa_cat_fdr,log_studies_value_missing,log_studies_getis_z,log_studies_getis_p,log_studies_getis_sig_fdr,research_intensity_per_mha_value,research_intensity_per_mha_lisa_I,research_intensity_per_mha_lisa_p,research_intensity_per_mha_lisa_cat_raw,research_intensity_per_mha_lisa_cat_fdr,research_intensity_per_mha_value_missing,research_intensity_per_mha_getis_z,research_intensity_per_mha_getis_p,research_intensity_per_mha_getis_sig_fdr,citation_weighted_value,citation_weighted_lisa_I,citation_weighted_lisa_p,citation_weighted_lisa_cat_raw,citation_weighted_lisa_cat_fdr,citation_weighted_value_missing,citation_weighted_getis_z,citation_weighted_getis_p,citation_weighted_getis_sig_fdr,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_raw,evidence_gap_lisa_cat_fdr,evidence_gap_value_missing,evidence_gap_getis_z,evidence_gap_getis_p,evidence_gap_getis_sig_fdr,cell_coverage_pct_value,cell_coverage_pct_lisa_I,cell_coverage_pct_lisa_p,cell_coverage_pct_lisa_cat_raw,cell_coverage_pct_lisa_cat_fdr,cell_coverage_pct_value_missing,cell_coverage_pct_getis_z,cell_coverage_pct_getis_p,cell_coverage_pct_getis_sig_fdr,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,evidence_gap
BLZ,0.0,0.45979319383413375,0.0872,Not significant,Not significant,False,-0.5735334359841767,0.0854,False,0.0,0.05523246272570678,0.3885,Not significant,Not significant,False,-0.18528053919792264,0.3885,False,0.0,0.041399599091780356,0.0479,Low-Low,Not significant,False,-0.20191429996099594,0.0478,False,-20.403879367609935,0.38581268684642667,0.0402,Low-Low,Not significant,False,-0.6850854717304814,0.0402,False,0.0,0.4034760626637413,0.0814,Not significant,Not significant,False,-0.5529589019685811,0.0813,False,Latin America & Caribbean ,Upper middle income,0.0,0.39378238341968913,-20.403879367609935
BOL,0.6931471805599453,-0.25810523565395743,0.0501,Not significant,Not significant,False,0.5640748399194148,0.0501,False,0.2861506245380456,0.03743112665580247,0.4855,Not significant,Not significant,False,-0.14667302392458698,0.4855,False,1.0,-0.04252696137534988,0.0974,Not significant,Not significant,False,0.14831445831630427,0.0974,False,-27.180815730038525,-0.5528917738287714,0.0258,Low-High,Not significant,False,0.5515004260588082,0.0258,False,5.2631578947368425,-0.33027087075597117,0.0746,Not significant,Not significant,False,0.4708747549946978,0.0746,False,Latin America & Caribbean ,Lower middle income,1.0,0.7512953367875648,-27.180815730038525
BRA,4.546304433121055,-1.202794728242672,0.1169,Not significant,Not significant,False,-0.0395369450122449,0.1169,False,1.1558347214088494,0.05590512448123711,0.1238,Not significant,Not significant,False,-0.2537553103803536,0.1238,False,2101.9500000000003,-0.2984927258318946,0.1024,Not significant,Not significant,False,0.054971538239901106,0.1022,False,65.30091669988043,-0.36784794261957393,0.2969,Not significant,Not significant,False,0.060800733678282856,0.2969,False,76.19047619047619,-1.5082642919341989,0.0993,Not significant,Not significant,False,0.02121829878933411,0.0993,False,Latin America & Caribbean ,Upper middle income,93.28333333333333,0.3316062176165803,65.30091669988043
BRB,0.0,0.7816947949946764,0.0024,Low-Low,Low-Low,False,-0.8864108243969333,0.0001,True,0.0,0.12383193799472729,0.0001,Low-Low,Low-Low,False,-0.35280341119873404,0.0001,True,0.0,0.04260996645140386,0.0001,Low-Low,Low-Low,False,-0.20695314796767572,0.0001,True,6.020991098711308,-0.012997450777365858,0.4094,Not significant,Not significant,False,-0.052820041715396365,0.4094,False,0.0,0.6206060486443279,0.0024,Low-Low,Low-Low,False,-0.7898133000241716,0.0001,True,Latin America & Caribbean ,High income,0.0,0.12953367875647667,6.020991098711308
BRN,0.0,-0.6810790962473342,0.04,Low-High,Not significant,False,0.5353555578768591,0.04,False,0.0,0.0507609840751081,0.4219,Not significant,Not significant,False,-0.17436099582385134,0.4219,False,0.0,0.01717016926010626,0.3234,Not significant,Not significant,False,-0.10104540818230821,0.3234,False,14.82928125415172,0.25960554224374144,0.0446,High-High,Not significant,False,0.6380992105008406,0.0446,False,0.0,-0.18487320678790964,0.2607,Not significant,Not significant,False,0.08883689345359776,0.2607,False,East Asia & Pacific,High income,0.0,0.04145077720207254,14.82928125415172
BTN,0.0,-1.3992891713151467,0.0005,Low-High,Low-High,False,1.2334312798018217,0.0005,True,0.0,0.04272383381025616,0.4766,Not significant,Not significant,False,-0.1547339288559191,0.4766,False,0.0,-0.31840479507582564,0.0339,Low-High,Not significant,False,1.295977757298403,0.0339,False,-54.60077055931977,-0.37223719952056405,0.2777,Not significant,Not significant,False,0.013568681181400522,0.2777,False,0.0,-0.8944879909896502,0.0095,Low-High,Not significant,False,0.8629141440203547,0.0095,False,South Asia,Lower middle income,0.0,0.7357512953367875,-54.60077055931977
BWA,0.4054651081081644,-0.006792661782697341,0.468,Not significant,Not significant,False,-0.0726347354627246,0.468,False,3.2302370864811993,0.001341027573109118,0.2711,Not significant,Not significant,False,0.04369344420453036,0.2711,False,1.0,0.02264149923972459,0.4214,Not significant,Not significant,False,-0.12408546615367977,0.4214,False,-21.93569815331474,0.24301231264401457,0.1488,Not significant,Not significant,False,-0.4399563360659052,0.1488,False,11.11111111111111,0.0529820094960835,0.3066,Not significant,Not significant,False,-0.23590825632092807,0.3066,False,Sub-Saharan Africa ,Upper middle income,0.5,0.6373056994818653,-21.93569815331474
CAF,0.0,0.5369892108006743,0.0514,Not significant,Not significant,False,-0.6485653342328351,0.0496,False,0.0,0.11108135179426613,0.0278,Low-Low,Not significant,False,-0.32166593074981603,0.0278,False,0.0,0.04229484122167939,0.019,Low-Low,Not significant,False,-0.20564125854581827,0.0189,False,-79.9893715955892,2.3547718050098942,0.0026,Low-Low,Low-Low,False,-1.2590331614812549,0.0026,True,0.0,0.5094250317265577,0.0223,Low-Low,Not significant,False,-0.6685324335499235,0.0217,False,Sub-Saharan Africa ,Low income,0.0,0.9896373056994818,-79.9893715955892
CAN,3.665086734117788,0.5983916186390335,0.2051,Not significant,Not significant,False,0.5427772072463749,0.2051,False,1.2764017089912643,0.0469613927178041,0.1904,Not significant,Not significant,False,-0.22928810658763113,0.1904,False,1453.202380952381,1.791232384548576,0.0129,High-High,Not significant,False,1.6774394223721367,0.0129,False,66.88720605819051,0.4029269533779065,0.2903,Not significant,Not significant,False,0.44864932108896133,0.2903,False,69.23076923076923,0.569051195112356,0.2647,Not significant,Not significant,False,0.570101422690046,0.2647,False,North America,High income,38.05952380952381,0.2849740932642487,66.88720605819051
CHE,0.9162907318741551,-0.08058421174246794,0.1593,Not significant,Not significant,False,0.33396734542887413,0.1593,False,7.2779780030392835,0.396529000555738,0.0388,High-High,Not significant,False,0.7451201635314777,0.0388,False,19.0,-0.014959409780354285,0.1604,Not significant,Not significant,False,0.040147820226489835,0.1604,False,39.845888136043584,1.4781584349728747,0.0004,High-High,High-High,False,1.3683651300689832,0.0004,True,9.090909090909092,-0.31338917702963187,0.021,Low-High,Not significant,False,0.7796775848917623,0.021,False,Europe & Central Asia,High income,1.5,0.15025906735751296,39.845888136043584
