iso3,gap,research_pct,need_pct,lisa_cat_gap9
CAN,88.46972176759411,95.38461538461539,6.914893617021278,Not significant
CAF,-79.98090561920348,19.48717948717949,99.46808510638297,Not significant
TCD,-78.91707583196944,19.48717948717949,98.40425531914893,Not significant
CHL,41.97217675941081,58.46153846153847,16.48936170212766,Not significant
HKG,-0.19367157665029922,19.48717948717949,19.680851063829788,Not significant
TWN,41.85488270594654,75.8974358974359,34.04255319148936,Not significant
CHN,71.31478450627387,98.97435897435898,27.65957446808511,Not significant
COL,31.614839061647572,79.48717948717949,47.87234042553192,Not significant
COM,-62.95962902345882,19.48717948717949,82.4468085106383,Not significant
COG,-64.55537370430987,19.48717948717949,84.04255319148936,Low-Low
CRI,14.871794871794876,64.87179487179488,50.0,Not significant
HRV,50.19639934533551,66.15384615384615,15.957446808510639,Not significant
CUB,-0.45553737043098863,47.94871794871795,48.40425531914894,Not significant
CYP,21.254773595199126,64.87179487179488,43.61702127659575,Not significant
CZE,69.77905073649755,83.07692307692308,13.297872340425528,High-High
CIV,-22.264048008728857,47.94871794871795,70.2127659574468,Not significant
PRK,-35.68739770867431,58.46153846153847,94.14893617021278,Low-High
COD,-68.81069285324604,19.48717948717949,88.29787234042553,Low-Low
DNK,70.63557010365521,74.35897435897436,3.723404255319153,High-High
DJI,-16.683033278777962,19.48717948717949,36.17021276595745,Low-Low
DMA,-27.321331151118386,19.48717948717949,46.808510638297875,Not significant
DOM,-3.385160938352424,19.48717948717949,22.872340425531913,Not significant
ECU,-7.345881069285326,68.71794871794872,76.06382978723404,Not significant
EGY,32.03218767048553,82.56410256410255,50.53191489361703,Not significant
SLV,-35.3000545553737,19.48717948717949,54.78723404255319,Not significant
GNQ,-33.172394980905615,19.48717948717949,52.659574468085104,Not significant
ERI,-73.59792689579923,19.48717948717949,93.08510638297872,Not significant
EST,22.416803055100928,47.94871794871795,25.53191489361702,High-High
SWZ,-4.30441898527004,58.46153846153847,62.76595744680851,Not significant
ETH,16.64211674849973,95.8974358974359,79.25531914893617,High-Low
FJI,-49.66175668303329,19.48717948717949,69.14893617021278,Not significant
FIN,57.67048554282596,72.56410256410255,14.893617021276597,Not significant
FRA,80.30278232405892,86.15384615384616,5.851063829787236,High-High
PYF,17.891434806328427,19.48717948717949,1.5957446808510625,Not significant
GAB,-45.40643753409711,19.48717948717949,64.8936170212766,Low-Low
GMB,-67.21494817239498,19.48717948717949,86.70212765957447,Not significant
GEO,-51.257501363884344,19.48717948717949,70.74468085106383,Not significant
DEU,92.21222040370975,94.87179487179486,2.659574468085111,High-High
GHA,23.69339879978179,77.94871794871796,54.25531914893617,Not significant
GRC,48.807965084560834,74.87179487179488,26.06382978723404,Not significant
GRD,-24.661756683033275,19.48717948717949,44.148936170212764,Not significant
GTM,-20.6683033278778,47.94871794871795,68.61702127659575,Not significant
GIN,-41.683033278777955,19.48717948717949,61.170212765957444,Not significant
GNB,-39.28532460447355,47.94871794871795,87.2340425531915,Not significant
GUY,9.380796508456086,19.48717948717949,10.106382978723403,Not significant
HTI,-75.1936715766503,19.48717948717949,94.68085106382979,Not significant
HND,-19.02618657937807,53.84615384615385,72.87234042553192,Not significant
HUN,58.41789416257501,88.2051282051282,29.787234042553195,Not significant
ISL,-2.321331151118386,19.48717948717949,21.808510638297875,Low-High
IND,43.63611565739226,99.48717948717949,55.85106382978723,Not significant
IDN,61.38025095471903,94.35897435897435,32.97872340425532,Not significant
IRN,34.65084560829241,97.94871794871794,63.297872340425535,Not significant
IRQ,-3.955264593562461,70.51282051282051,74.46808510638297,Not significant
IRL,42.629569012547734,47.94871794871795,5.319148936170215,High-High
ISR,25.608292416803057,47.94871794871795,22.340425531914892,Not significant
ITA,79.18166939443535,87.6923076923077,8.510638297872347,Not significant
JAM,-48.066012002182205,19.48717948717949,67.5531914893617,Not significant
JPN,76.59028914348063,78.71794871794872,2.1276595744680833,Not significant
JOR,-55.51282051282051,19.48717948717949,75.0,Not significant
KAZ,69.01800327332244,89.23076923076924,20.212765957446805,Not significant
KEN,-3.949809056192038,91.7948717948718,95.74468085106383,Not significant
KIR,-19.874522640480087,19.48717948717949,39.361702127659576,Not significant
KWT,-35.831969448990726,19.48717948717949,55.319148936170215,Not significant
KGZ,-8.966175668303329,47.94871794871795,56.91489361702128,Not significant
LAO,-30.242771412984176,47.94871794871795,78.19148936170212,Not significant
LVA,21.352973267866886,47.94871794871795,26.595744680851062,Not significant
LBN,0.6055646481178414,62.30769230769231,61.702127659574465,Not significant
LSO,-63.49154391707583,19.48717948717949,82.97872340425532,Not significant
LBR,-70.93835242771414,19.48717948717949,90.42553191489363,Not significant
LBY,-37.95962902345882,19.48717948717949,57.446808510638306,Not significant
LTU,30.92744135297327,47.94871794871795,17.02127659574468,Not significant
LUX,43.693398799781775,47.94871794871795,4.255319148936174,High-High
MDG,-40.85379159847245,54.35897435897436,95.2127659574468,Not significant
MWI,-13.824331696672118,71.28205128205128,85.1063829787234,Not significant
MYS,57.19312602291326,85.38461538461539,28.191489361702125,Not significant
MDV,-14.023458810692851,19.48717948717949,33.51063829787234,Not significant
MLI,-21.85761047463174,58.46153846153847,80.31914893617021,Not significant
MLT,-15.0872885979269,19.48717948717949,34.57446808510639,Not significant
MRT,-27.58319694489908,47.94871794871795,75.53191489361703,Not significant
MUS,-11.363884342607744,19.48717948717949,30.851063829787233,Not significant
MEX,67.36497545008183,90.76923076923077,23.404255319148945,Not significant
MNG,8.044189852700491,55.38461538461539,47.340425531914896,Not significant
MNE,18.21058374249864,39.48717948717949,21.27659574468085,Not significant
MAR,18.466993998908904,89.74358974358975,71.27659574468085,Not significant
MOZ,-26.437534097108582,67.17948717948717,93.61702127659575,Not significant
MMR,-2.8232405891980292,61.53846153846154,64.36170212765957,Not significant
NAM,-38.543371522094915,42.30769230769231,80.85106382978722,Not significant
NPL,41.320240043644304,90.25641025641026,48.93617021276596,Not significant
NLD,62.04855428259683,76.41025641025641,14.361702127659576,High-High
NCL,-15.619203491543914,19.48717948717949,35.1063829787234,Not significant
NZL,29.331696672122206,47.94871794871795,18.617021276595743,Not significant
NIC,-54.44899072558647,19.48717948717949,73.93617021276596,Not significant
NER,-17.793235133660666,63.589743589743584,81.38297872340425,Not significant
NGA,14.495362793235131,96.41025641025641,81.91489361702128,Not significant
MKD,21.22749590834698,58.46153846153847,37.234042553191486,Not significant
NOR,39.3126022913257,58.46153846153847,19.148936170212764,High-High
OMN,-40.08728859792689,19.48717948717949,59.57446808510638,Not significant
PAK,30.41462084015275,97.43589743589743,67.02127659574468,Not significant
PSE,-42.746863066012004,19.48717948717949,62.23404255319149,Not significant
PAN,9.650845608292414,47.94871794871795,38.297872340425535,Not significant
PNG,-60.300054555373706,19.48717948717949,79.7872340425532,Not significant
PRY,-18.278777959629025,19.48717948717949,37.765957446808514,Not significant
PER,30.47463175122749,81.53846153846153,51.06382978723404,Not significant
PHL,43.810692853246046,80.51282051282051,36.702127659574465,Not significant
POL,72.40043644298963,84.1025641025641,11.702127659574472,Not significant
PRT,28.14238952536825,58.46153846153847,30.319148936170215,High-High
PRI,14.699945444626298,19.48717948717949,4.787234042553191,Not significant
QAT,-39.55537370430988,19.48717948717949,59.04255319148937,Not significant
KOR,73.90070921985816,86.66666666666667,12.765957446808514,Not significant
MDA,-38.221494817239495,47.94871794871795,86.17021276595744,Not significant
ROU,11.0556464811784,53.07692307692308,42.02127659574468,Not significant
RUS,67.19585379159847,81.02564102564102,13.829787234042556,Not significant
RWA,-14.585379159847236,77.43589743589745,92.02127659574468,Not significant
LCA,-22.00218221494817,19.48717948717949,41.48936170212766,Not significant
VCT,-11.895799236224764,19.48717948717949,31.382978723404253,Not significant
WSM,-9.236224768139664,19.48717948717949,28.723404255319153,Not significant
STP,-57.10856519367158,19.48717948717949,76.59574468085107,Not significant
SAU,32.9569012547736,64.87179487179488,31.914893617021278,Not significant
SEN,20.272776868521547,84.1025641025641,63.829787234042556,High-Low
SRB,56.1783960720131,76.92307692307693,20.744680851063833,Not significant
SYC,16.29569012547736,19.48717948717949,3.1914893617021285,Not significant
SLE,-27.68139661756682,64.87179487179488,92.5531914893617,Not significant
SVK,21.933987997817788,39.48717948717949,17.5531914893617,High-High
SVN,14.487179487179489,39.48717948717949,25.0,High-High
SLB,-65.08728859792689,19.48717948717949,84.57446808510637,Low-Low
SOM,-55.50736497545008,40.76923076923077,96.27659574468085,Not significant
ZAF,36.91489361702128,80.0,43.08510638297872,Not significant
SSD,-38.34697217675941,58.46153846153847,96.80851063829788,Not significant
ESP,63.56519367157665,92.82051282051282,29.255319148936167,High-High
LKA,44.42716857610475,85.38461538461539,40.95744680851064,Not significant
