iso3,gap9,lisa_q_geodesic
ISR,25.160777983180154,0
ITA,78.09513890697008,0
JAM,-48.27765771864504,0
JPN,76.03692035306065,0
JOR,-56.04967844403364,0
KAZ,67.18306558700237,0
KEN,-3.8951232848178705,0
KIR,-20.816517822271983,0
KWT,-36.360559273049184,0
KGZ,-7.9998437784778815,0
LAO,-29.761501809565956,0
LVA,21.0157002629729,1
LBN,1.4072955450829312,0
LSO,-63.82169916942224,0
LBR,-71.07558517978492,0
LBY,-38.433098133152804,0
LTU,30.34212513343922,0
LUX,43.8136277241128,1
MDG,-40.0604056552191,0
MWI,-13.632931496862554,0
MYS,56.66284791834823,0
MDV,-15.11703595698701,0
MLI,-21.532533131981154,0
MLT,-16.15330538703882,0
MRT,-27.170828234436428,0
MUS,-12.526362381857474,0
MEX,66.08430754810321,0
FSM,-55.01340901398182,0
MNG,8.094878537766554,0
MNE,16.90056500117166,0
MAR,18.447158070143473,0
MOZ,-25.943187439789625,0
MMR,-2.4552815892936195,0
NAM,-38.38232613846435,0
NPL,40.71132866404562,0
NLD,61.34038065977556,1
NCL,-16.67144010206473,0
NZL,28.7877209883615,0
NIC,-54.49527429895591,0
NER,-17.54367693389227,0
NGA,13.596479808368258,0
MKD,20.4363787851173,0
NOR,38.57109381102403,0
OMN,-40.50563699325644,0
PAK,30.129924232561777,0
PSE,-43.096310568385974,0
PAN,9.616736532402953,0
PNG,-60.7128908792668,0
PRY,-18.74397896216835,0
PER,30.096076236102796,0
PHL,43.080688416174134,0
POL,71.46874267711614,0
PRT,27.690264795479987,1
PRI,13.89850808446377,0
QAT,-39.98750227823053,0
KOR,72.94503606113469,0
MDA,-37.53352253495456,0
ROU,11.0149191553623,0
RUS,66.38112844012811,0
RWA,-13.836019475616425,0
KNA,1.4632749238420075,0
LCA,-22.3709219673497,0
VCT,-13.044497096883383,0
WSM,-10.453823521753847,0
STP,-57.60408258911135,0
SAU,32.41726768557815,0
SEN,20.173405889551375,0
SRB,55.107141927252854,0
SYC,15.971046944567398,0
SLE,-27.16822454240112,0
SGP,18.56172051969693,0
SVK,20.52750800635301,1
SVN,13.273621995990315,1
SLB,-65.37610331449997,0
SOM,-55.41828312547192,0
ZAF,36.36055927304919,0
SSD,-37.59470929778426,0
ESP,62.39487593407452,1
LKA,43.19134532767465,0
SDN,-66.41237274455176,0
SUR,-30.66107740776421,0
SWE,68.26489962767205,0
CHE,39.19858359153279,1
SYR,-56.45455255552374,0
TJK,-58.12221730413726,0
THA,50.524643945114164,0
TLS,-72.11185460983674,0
TGO,-59.676621449214984,0
TON,-34.806155127971465,0
TTO,-27.034134402582865,0
TUN,18.25578670554848,0
TKM,-41.02377170828235,0
TUV,12.34410393938605,0
TUR,37.271851485406295,0
UGA,-18.829900799333444,0
UKR,25.073554299997397,0
ARE,-8.899419376676128,0
GBR,87.8928320358268,1
TZA,-7.225245397974319,0
USA,97.92746113989637,0
URY,44.963157757700415,0
UZB,16.60764964719972,0
VUT,-39.46936756320462,0
VEN,-2.631030801676779,0
VNM,52.56593850079413,0
YEM,-79.36574062019943,0
ZMB,-15.59611529148333,0
ZWE,-18.736167886062432,0
