iso3,gap,research_pct,need_pct,lisa_cat_gap9,high_need_low_research
UGA,-19.162575013638843,71.7948717948718,90.95744680851064,Not significant,False
UKR,25.248226950354606,93.33333333333331,68.08510638297872,Not significant,False
ARE,-7.640480087288594,19.48717948717949,27.127659574468083,Not significant,False
GBR,88.18603382433169,88.71794871794872,0.5319148936170279,High-High,False
TZA,-7.310420076377525,82.05128205128204,89.36170212765957,Not significant,False
USA,98.93617021276596,100.0,1.0638297872340416,Not significant,False
URY,45.80741953082378,69.74358974358974,23.93617021276596,Not significant,False
UZB,17.20676486633934,73.58974358974359,56.38297872340425,Not significant,False
VUT,-39.02345881069285,19.48717948717949,58.51063829787234,Not significant,True
VEN,-2.373158756137478,42.30769230769231,44.680851063829785,Not significant,False
VNM,53.47790507364976,92.3076923076923,38.82978723404255,Not significant,False
YEM,-79.44899072558647,19.48717948717949,98.93617021276596,Not significant,True
ZMB,-15.818330605564654,67.6923076923077,83.51063829787235,Not significant,False
ZWE,-19.048008728859784,68.71794871794872,87.7659574468085,Not significant,False
